,Lender,LoanAmount,Loans
491,Financial Federal Bank,48134.114,5
492,FineMark National Bank & Trust,7315.0,3
493,FirsTier Bank,50144.0,2
494,First American Bank,59400.65485714286,35
495,First American Bank & Trust,35169.0,1
496,First American National Bank,6944.0,1
497,First Bank,28391.44860632184,696
498,First Bank & Trust,43302.840717131476,251
499,First Bank & Trust Co.,39757.666666666664,6
500,First Bank Elk River,3300.0,1
501,First Bank Kansas,23800.0,1
502,First Bank Richmond,22000.0,1
503,First Bank and Trust,87214.66666666667,3
504,First Bank and Trust of Childress,23693.536585365855,41
505,First Bank and Trust of Memphis,34968.68709677419,31
506,First Bank of Alabama,84764.81,2
507,First Bank of Highland Park,32317.0,1
508,First Bank of Manhattan,18600.0,1
509,First Bank of Owasso,34689.47368421053,38
510,First Bank of the Lake,48411.60328125,192
511,"First Bank, Upper Michigan",37698.25,1
512,"First Bankers Trust Company, National Association",16097.12,1
513,First Basin CU,21851.536516853932,356
514,First Business Bank,58848.4,5
515,First Capital Bank,31742.391304347828,92
516,First Chatham Bank,25083.333333333332,3
517,First Choice Bank,39295.83857142857,7
518,First Citizens Bank,24202.333333333332,3
519,First Citrus Bank,14930.0,1
520,First Command Bank,32567.506923076933,65
521,First Commercial Bank,78072.0,1
522,"First Commercial Bank, National Association",40600.4329004329,231
523,First Commonwealth Bank,64639.0,5
524,First Community Bank,38459.893325526966,854
525,First Community Bank and Trust,22053.0,3
526,First Community CU,26613.62824427481,131
527,First Dakota National Bank,4000.0,1
528,First Eagle Bank,15080.0,1
529,First Education FCU,4743.844999999999,2
530,First Enterprise Bank,8788.5,6
531,First FarmBank,50781.25,4
532,First Farmers Bank & Trust Co.,66724.75,2
533,First Federal Bank,61600.0,5
534,"First Federal Bank Littlefield, Texas",26307.187749999994,40
535,First Federal Bank of Louisiana,32871.5,8
536,"First Federal Community Bank, SSB",33669.24277173913,184
537,First Federal Savings & Loan Association of Lakewood,93097.0,1
538,First Federal Savings Bank,10300.0,1
539,First Federal Savings Bank of Twin Falls,56900.0,1
540,First Fidelity Bank,30096.659999999996,5
541,First Financial Bank,34872.334,30
542,"First Financial Bank, National Association",38065.07074299408,5424
543,First Florida Integrity Bank,94460.0,1
544,First Foundation Bank,20800.0,1
545,First Freedom Bank,39407.9125,8
546,First Guaranty Bank,33873.76615384616,130
547,First Hawaiian Bank,66208.25,2
548,First Home Bank,31636.658424908426,546
549,First Horizon Bank,55715.9304,25
550,First IC Bank,19434.883720930233,43
551,First International Bank & Trust,81450.0,4
552,First Internet Bank of Indiana,54861.04583333333,24
553,First Interstate Bank,28630.35714285714,7
554,First Liberty Bank,46145.097499999996,12
555,First Merchants Bank,15611.25,2
556,First Metro Bank,59125.0,1
557,"First Mid Bank & Trust, National Association",69866.66666666667,3
558,First Midwest Bank,55067.916666666664,6
559,First Missouri Bank,38712.94,3
560,First Missouri State Bank of Cape County,57750.0,1
561,First National Bank,28270.763908948204,637
562,First National Bank & Trust Company,122177.0,1
563,First National Bank & Trust Company of McAlester,41369.174999999996,6
564,First National Bank Albany/Breckenridge,30195.420289855072,345
565,First National Bank Baird d/b/a First Bank Texas,30908.781270073,685
566,First National Bank North,16000.0,1
567,First National Bank Texas,29406.34304700162,1234
568,First National Bank and Trust Company,11900.0,1
569,First National Bank and Trust Company of Ardmore,23223.662142857145,14
570,First National Bank and Trust Company of Weatherford,25600.0,6
571,First National Bank in DeRidder,25517.775,2
572,First National Bank in Port Lavaca,30715.10814814818,189
573,First National Bank of Alvin,41682.17391304348,46
574,First National Bank of Anderson,31034.23404255319,47
575,First National Bank of Bosque County,22577.126126126128,111
576,First National Bank of Burleson,30120.389830508473,295
577,First National Bank of Central Texas,37203.7109375,512
578,First National Bank of Clarksdale,20800.0,1
579,First National Bank of Dublin,23768.38209677419,62
580,First National Bank of Eastern Arkansas,23244.0,1
581,First National Bank of Fort Stockton,43716.96217391304,23
582,First National Bank of Giddings,27135.86453125,64
583,First National Bank of Hereford,36418.30275229358,109
584,First National Bank of Huntsville,33385.97182410422,307
585,First National Bank of Jasper,37368.86218390805,87
586,First National Bank of Louisiana,62658.333333333336,6
587,First National Bank of Oklahoma,35340.0,5
588,First National Bank of Omaha,32048.651250000028,200
589,First National Bank of Pasco,11878.0,1
590,First National Bank of Pennsylvania,43644.42857142857,7
591,First National Bank of Picayune,5405.0,1
592,First National Bank of South Padre Island,26556.349206349205,63
593,First National Bank of Weatherford,34565.70292887029,239
594,First National Bank of Winnsboro,41275.47,16
595,First New Mexico Bank,39886.98090909091,11
596,First New Mexico Bank Las Cruces,58923.02333333334,3
597,First Northern Bank of Wyoming,32627.0,3
598,First Oklahoma Bank,59388.88888888889,18
599,First PREMIER Bank,41304.0,1
600,First Palmetto Bank,34700.0,1
601,First Pryority Bank,25416.666666666668,6
602,First Republic Bank,36378.75,40
603,First Savings Bank,40771.5564516129,124
604,First Secure Bank and Trust Co.,24175.0,2
605,First Secure Community Bank,48473.515,2
606,First Security Bank,33199.03214285714,14
607,First Security Bank & Trust Company,20832.5,1
608,First Security Bank of Deer Lodge,35315.810000000005,6
609,First Security Bank of Nevada,46788.0,1
610,First Security State Bank,27164.218219178085,73
611,First Sentinel Bank,83286.0,1
612,First Service Bank,43933.333333333336,3
613,First Service Credit Union,17750.104507042248,71
614,First Sound Bank,2800.0,1
615,First Southern National Bank,129854.0,1
616,First Southern State Bank,18831.45,1
617,First Southwest Bank,75781.5275,4
618,First State Bank,33107.895308588675,2317
619,First State Bank & Trust,14900.0,1
620,First State Bank Nebraska,35323.529411764706,17
621,First State Bank of Bedias,36601.666666666664,36
622,First State Bank of Burnet,32637.258727272736,110
623,First State Bank of DeQueen,93134.4,2
624,First State Bank of Odem,36038.35396551724,174
625,First State Bank of San Diego,38601.14722222223,54
626,"First State Bank of St. Charles, Missouri",69264.0,1
627,First State Bank of Texas,33052.29885057471,174
628,First State Bank of Uvalde,36996.51031413613,191
629,First State Community Bank,10000.0,1
630,First Texas Bank,41288.46867834397,628
631,First Texoma National Bank,27900.04857142856,21
632,First United Bank,30683.34931617056,1243
633,First United Bank & Trust,50700.0,1
634,First United Bank and Trust Company,35735.836612021856,3660
635,First Utah Bank,27125.0,8
636,First Vision Bank of Tennessee,83500.0,1
637,First Volunteer Bank,14047.75,1
638,First Western Bank,38575.09,1
639,First Western Bank & Trust,82500.0,1
640,"First Western SBLC, Inc",50686.82352941176,17
641,First Western Trust Bank,46476.333333333336,3
642,First-Citizens Bank & Trust Company,61155.0,420
643,First-Citizens National Bank,102218.0,1
644,First-Lockhart National Bank,44184.65517241379,29
645,FirstBank,34188.655757575754,33
646,FirstBank Southwest,31367.48521440827,583
647,"FirstCapital Bank of Texas, National Association",35370.416263879815,1531
648,FirstLight FCU,28219.6905263158,152
649,FirstState Bank,8512.5,1
650,Firstar Bank,23210.0,1
651,Firstrust Savings Bank,82466.66666666667,3
652,Five Points Bank,3500.0,1
653,Five Star Bank,64300.0,20
654,FivePoint CU,12272.333333333334,3
655,Flagler Bank,17437.0,1
656,"Flagstar Bank, FSB",38368.42105263158,19
657,Flatwater Bank,5200.0,1
658,"Florida Capital Bank, National Association",57567.75,4
659,Forest Park National Bank and Trust Company,106700.0,1
660,Fort Davis State Bank,33848.125,8
661,Fortis Private Bank,90885.0,4
662,Fortress Bank,13366.666666666666,3
663,FortuneBank,35620.0,10
664,Foundation One Bank,5900.0,1
